repo,pr_number,url,Time to Merge (days),Number of Unique Reviewers,Total Discussion Comments,Commits After First Review,Time Between First and Last Comments (days),Requested Changes,log1p Time to Merge (days),log1p Number of Unique Reviewers,log1p Total Discussion Comments,log1p Commits After First Review,log1p Time Between First and Last Comments (days),log1p Requested Changes
Trilinos,6238,https://github.com/trilinos/Trilinos/pull/6238,0.46,2,7,0,0.13,0,0.3784364357202451,1.0986122886681096,2.0794415416798357,0.0,0.12221763272424921,0.0
Trilinos,8242,https://github.com/trilinos/Trilinos/pull/8242,0.17,1,11,0,0.16,0,0.15700374880966475,0.6931471805599453,2.4849066497880004,0.0,0.14842000511827327,0.0
Trilinos,8262,https://github.com/trilinos/Trilinos/pull/8262,0.42,2,15,0,0.4,0,0.35065687161316933,1.0986122886681096,2.772588722239781,0.0,0.33647223662121295,0.0
Trilinos,8277,https://github.com/trilinos/Trilinos/pull/8277,0.06,1,6,0,0.04,0,0.058268908123975775,0.6931471805599453,1.9459101490553132,0.0,0.039220713153281295,0.0
Trilinos,8304,https://github.com/trilinos/Trilinos/pull/8304,0.09,1,6,0,0.08,0,0.08617769624105233,0.6931471805599453,1.9459101490553132,0.0,0.07696104113612832,0.0
Trilinos,8370,https://github.com/trilinos/Trilinos/pull/8370,0.14,1,11,0,0.12,0,0.1310282624064041,0.6931471805599453,2.4849066497880004,0.0,0.11332868530700317,0.0
Trilinos,8410,https://github.com/trilinos/Trilinos/pull/8410,146.2,1,26,0,146.18,0,4.991792206294776,0.6931471805599453,3.295836866004329,0.0,4.991656327498453,0.0
Trilinos,8451,https://github.com/trilinos/Trilinos/pull/8451,4.1,2,31,2,4.08,0,1.62924053973028,1.0986122886681096,3.4657359027997265,1.0986122886681096,1.6253112615903906,0.0
Trilinos,8518,https://github.com/trilinos/Trilinos/pull/8518,15.96,1,36,0,15.95,0,2.830857630363757,0.6931471805599453,3.6109179126442243,0.0,2.830267833826459,0.0
Trilinos,8572,https://github.com/trilinos/Trilinos/pull/8572,0.64,2,6,0,0.1,0,0.49469624183610705,1.0986122886681096,1.9459101490553132,0.0,0.09531017980432487,0.0
Trilinos,8629,https://github.com/trilinos/Trilinos/pull/8629,4.22,2,31,0,4.21,0,1.6524974018945473,1.0986122886681096,3.4657359027997265,0.0,1.6505798557652755,0.0
Trilinos,8713,https://github.com/trilinos/Trilinos/pull/8713,0.6,2,14,1,0.59,0,0.4700036292457356,1.0986122886681096,2.70805020110221,0.6931471805599453,0.46373401623214017,0.0
Trilinos,8714,https://github.com/trilinos/Trilinos/pull/8714,0.11,1,6,0,0.09,0,0.10436001532424277,0.6931471805599453,1.9459101490553132,0.0,0.08617769624105233,0.0
Trilinos,8719,https://github.com/trilinos/Trilinos/pull/8719,0.17,1,10,0,0.16,0,0.15700374880966475,0.6931471805599453,2.3978952727983707,0.0,0.14842000511827327,0.0
Trilinos,8891,https://github.com/trilinos/Trilinos/pull/8891,0.04,1,9,0,0.03,0,0.039220713153281295,0.6931471805599453,2.302585092994046,0.0,0.0295588022415444,0.0
Trilinos,9007,https://github.com/trilinos/Trilinos/pull/9007,0.89,1,11,0,0.36,0,0.636576829071551,0.6931471805599453,2.4849066497880004,0.0,0.3074846997479606,0.0
Trilinos,9011,https://github.com/trilinos/Trilinos/pull/9011,0.11,1,7,0,0.1,0,0.10436001532424277,0.6931471805599453,2.0794415416798357,0.0,0.09531017980432487,0.0
Trilinos,9030,https://github.com/trilinos/Trilinos/pull/9030,0.98,1,15,0,0.96,0,0.6830968447064438,0.6931471805599453,2.772588722239781,0.0,0.6729444732424258,0.0
Trilinos,9034,https://github.com/trilinos/Trilinos/pull/9034,0.93,1,11,0,0.43,0,0.6575200029167942,0.6931471805599453,2.4849066497880004,0.0,0.3576744442718159,0.0
Trilinos,9035,https://github.com/trilinos/Trilinos/pull/9035,0.04,1,6,0,0.04,0,0.039220713153281295,0.6931471805599453,1.9459101490553132,0.0,0.039220713153281295,0.0
Trilinos,9095,https://github.com/trilinos/Trilinos/pull/9095,1.17,1,22,0,1.06,0,0.7747271675523681,0.6931471805599453,3.1354942159291497,0.0,0.7227059828014898,0.0
Trilinos,9096,https://github.com/trilinos/Trilinos/pull/9096,1.02,1,9,0,0.95,0,0.7030975114131134,0.6931471805599453,2.302585092994046,0.0,0.6678293725756554,0.0
Trilinos,9157,https://github.com/trilinos/Trilinos/pull/9157,0.14,1,6,0,0.13,0,0.1310282624064041,0.6931471805599453,1.9459101490553132,0.0,0.12221763272424921,0.0
Trilinos,9169,https://github.com/trilinos/Trilinos/pull/9169,0.16,1,7,0,0.16,0,0.14842000511827327,0.6931471805599453,2.0794415416798357,0.0,0.14842000511827327,0.0
Trilinos,9225,https://github.com/trilinos/Trilinos/pull/9225,2.54,1,12,0,2.53,0,1.264126727145683,0.6931471805599453,2.5649493574615367,0.0,1.2612978709452054,0.0
Trilinos,9260,https://github.com/trilinos/Trilinos/pull/9260,0.19,1,9,0,0.19,0,0.173953307123438,0.6931471805599453,2.302585092994046,0.0,0.173953307123438,0.0
Trilinos,9277,https://github.com/trilinos/Trilinos/pull/9277,5.98,1,21,0,2.43,0,1.943048916774281,0.6931471805599453,3.091042453358316,0.0,1.2325602611778486,0.0
Trilinos,9303,https://github.com/trilinos/Trilinos/pull/9303,0.08,1,7,0,0.08,0,0.07696104113612832,0.6931471805599453,2.0794415416798357,0.0,0.07696104113612832,0.0
Trilinos,9330,https://github.com/trilinos/Trilinos/pull/9330,0.09,1,6,0,0.09,0,0.08617769624105233,0.6931471805599453,1.9459101490553132,0.0,0.08617769624105233,0.0
Trilinos,9373,https://github.com/trilinos/Trilinos/pull/9373,0.15,1,9,0,0.14,0,0.13976194237515868,0.6931471805599453,2.302585092994046,0.0,0.1310282624064041,0.0
Trilinos,9386,https://github.com/trilinos/Trilinos/pull/9386,1.18,1,8,0,1.16,0,0.7793248768009976,0.6931471805599453,2.1972245773362196,0.0,0.7701082216960736,0.0
Trilinos,9396,https://github.com/trilinos/Trilinos/pull/9396,0.14,1,6,0,0.13,0,0.1310282624064041,0.6931471805599453,1.9459101490553132,0.0,0.12221763272424921,0.0
Trilinos,9399,https://github.com/trilinos/Trilinos/pull/9399,0.22,2,7,0,0.21,0,0.1988508587451652,1.0986122886681096,2.0794415416798357,0.0,0.1906203596086497,0.0
Trilinos,9486,https://github.com/trilinos/Trilinos/pull/9486,0.12,1,8,0,0.11,0,0.11332868530700317,0.6931471805599453,2.1972245773362196,0.0,0.10436001532424277,0.0
Trilinos,9520,https://github.com/trilinos/Trilinos/pull/9520,1.94,1,13,0,1.93,0,1.0784095813505903,0.6931471805599453,2.639057329615259,0.0,1.0750024230289759,0.0
Trilinos,9582,https://github.com/trilinos/Trilinos/pull/9582,1.2,1,9,0,1.2,0,0.7884573603642702,0.6931471805599453,2.302585092994046,0.0,0.7884573603642702,0.0
Trilinos,9748,https://github.com/trilinos/Trilinos/pull/9748,2.93,1,20,1,2.62,0,1.3686394258811698,0.6931471805599453,3.044522437723423,0.6931471805599453,1.2864740258376797,0.0
Trilinos,9914,https://github.com/trilinos/Trilinos/pull/9914,14.22,1,21,0,12.3,0,2.7226103524335397,0.6931471805599453,3.091042453358316,0.0,2.5877640352277083,0.0
Trilinos,10051,https://github.com/trilinos/Trilinos/pull/10051,1.93,1,10,0,1.93,0,1.0750024230289759,0.6931471805599453,2.3978952727983707,0.0,1.0750024230289759,0.0
Trilinos,10091,https://github.com/trilinos/Trilinos/pull/10091,0.12,1,13,1,0.11,0,0.11332868530700317,0.6931471805599453,2.639057329615259,0.6931471805599453,0.10436001532424277,0.0
Trilinos,10204,https://github.com/trilinos/Trilinos/pull/10204,5.37,1,20,0,5.37,0,1.851599469584072,0.6931471805599453,3.044522437723423,0.0,1.851599469584072,0.0
Trilinos,10252,https://github.com/trilinos/Trilinos/pull/10252,2.64,1,10,0,2.59,0,1.2919836816486494,0.6931471805599453,2.3978952727983707,0.0,1.2781522025001875,0.0
Trilinos,10279,https://github.com/trilinos/Trilinos/pull/10279,0.63,2,15,0,0.63,0,0.48858001481867097,1.0986122886681096,2.772588722239781,0.0,0.48858001481867097,0.0
Trilinos,10305,https://github.com/trilinos/Trilinos/pull/10305,0.3,1,9,0,0.29,0,0.26236426446749106,0.6931471805599453,2.302585092994046,0.0,0.2546422183735807,0.0
Trilinos,10307,https://github.com/trilinos/Trilinos/pull/10307,0.15,1,7,0,0.12,0,0.13976194237515868,0.6931471805599453,2.0794415416798357,0.0,0.11332868530700317,0.0
Trilinos,10356,https://github.com/trilinos/Trilinos/pull/10356,3.3,2,34,0,3.29,0,1.4586150226995167,1.0986122886681096,3.5553480614894135,0.0,1.4562867329399256,0.0
Trilinos,10357,https://github.com/trilinos/Trilinos/pull/10357,3.58,2,18,0,3.56,0,1.5216989981260935,1.0986122886681096,2.9444389791664403,0.0,1.5173226235262947,0.0
Trilinos,10415,https://github.com/trilinos/Trilinos/pull/10415,16.52,1,16,0,16.51,0,2.8633430855082453,0.6931471805599453,2.833213344056216,0.0,2.8627721462977607,0.0
Trilinos,10453,https://github.com/trilinos/Trilinos/pull/10453,2.65,1,9,0,2.57,0,1.2947271675944,0.6931471805599453,2.302585092994046,0.0,1.2725655957915476,0.0
Trilinos,10530,https://github.com/trilinos/Trilinos/pull/10530,8.18,2,27,0,8.11,0,2.217027204632399,1.0986122886681096,3.332204510175204,0.0,2.209372711271867,0.0
Trilinos,10571,https://github.com/trilinos/Trilinos/pull/10571,11.89,1,46,0,11.82,0,2.556451816951096,0.6931471805599453,3.8501476017100584,0.0,2.551006451492524,0.0
Trilinos,10572,https://github.com/trilinos/Trilinos/pull/10572,8.37,1,28,0,8.06,0,2.2375130962503307,0.6931471805599453,3.367295829986474,0.0,2.203869120054888,0.0
