repo,metric,tested_on,n_non_sci,n_sci,mean_non_sci_orig,mean_sci_orig,t_stat,df_welch,p_raw,p_bonferroni,significant_at_alpha/Bonferroni,bonferroni_alpha
Trilinos,Time to Merge (days),log1p,400,355,6.5665249999999995,19.98543661971831,-9.15593032856842,687.6084614665036,6.072238535475679e-19,3.643343121285408e-18,True,0.008333333333333333
Trilinos,Number of Unique Reviewers,log1p,400,355,1.435,2.304225352112676,-13.691393907922457,726.8374162405458,3.9730391011627297e-38,2.383823460697638e-37,True,0.008333333333333333
Trilinos,Total Discussion Comments,log1p,400,355,21.735,38.89577464788732,-11.844283626037504,746.2379117247235,8.876927695292331e-30,5.326156617175399e-29,True,0.008333333333333333
Trilinos,Commits After First Review,log1p,400,355,0.855,3.447887323943662,-20.05584024817447,737.7610149761729,9.525328344322274e-72,5.7151970065933646e-71,True,0.008333333333333333
Trilinos,Time Between First and Last Comments (days),log1p,400,355,6.52865,19.96523943661972,-9.101138361160602,688.657413583869,9.503952326555745e-19,5.702371395933447e-18,True,0.008333333333333333
Trilinos,Requested Changes,log1p,400,355,0.0325,0.27605633802816903,-8.571359725191444,441.24963549717677,1.7375103403775738e-16,1.0425062042265443e-15,True,0.008333333333333333
amrex,Time to Merge (days),log1p,400,338,4.146175,13.383520710059171,-6.344047438659901,626.2999171448959,4.29120640407336e-10,2.574723842444016e-09,True,0.008333333333333333
amrex,Number of Unique Reviewers,log1p,400,338,1.18,1.9230769230769231,-16.117915624660366,572.0029644750412,1.8442672749901936e-48,1.106560364994116e-47,True,0.008333333333333333
amrex,Total Discussion Comments,log1p,400,338,1.4875,6.677514792899408,-19.555851775520456,674.2497897327812,8.43477767910584e-68,5.060866607463504e-67,True,0.008333333333333333
amrex,Commits After First Review,log1p,400,338,0.3275,3.1538461538461537,-26.654447810919088,576.0368323797093,1.391325878926251e-102,8.347955273557507e-102,True,0.008333333333333333
amrex,Time Between First and Last Comments (days),log1p,90,274,4.414666666666666,12.533284671532847,-0.8767801500126431,189.17752693843616,0.3817180872352889,1.0,False,0.008333333333333333
amrex,Requested Changes,log1p,400,338,0.01,0.16863905325443787,-7.062585016489846,379.6247099898301,7.847136203906587e-12,4.7082817223439525e-11,True,0.008333333333333333
mantid,Time to Merge (days),log1p,400,381,6.424175,23.283517060367455,-18.24663722990769,775.0772973206359,3.7185393704136125e-62,2.2311236222481675e-61,True,0.008333333333333333
mantid,Number of Unique Reviewers,log1p,400,381,1.0625,2.0026246719160103,-15.845204141204777,645.4452598916209,5.2417601433221695e-48,3.1450560859933017e-47,True,0.008333333333333333
mantid,Total Discussion Comments,log1p,400,381,3.46,13.496062992125983,-21.559077713345438,770.8966363567728,4.854194057461519e-81,2.9125164344769113e-80,True,0.008333333333333333
mantid,Commits After First Review,log1p,400,381,1.5,6.897637795275591,-20.142449686158276,762.6426107662077,1.1148431013681149e-72,6.68905860820869e-72,True,0.008333333333333333
mantid,Time Between First and Last Comments (days),log1p,139,332,10.561942446043165,12.695090361445784,-2.928393064740301,261.9724658752101,0.0037069290619130514,0.022241574371478307,True,0.008333333333333333
mantid,Requested Changes,log1p,400,381,0.235,0.8162729658792651,-11.199641568634647,667.0122696837601,8.486121496597357e-27,5.0916728979584143e-26,True,0.008333333333333333
